Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Poblacion
Buenos Aires,Hurlingham,128.0,166.0,185361.0
Mendoza,Luján de Cuyo,421.0,165.0,171883.0
Misiones,Libertador General San Martín,27.0,165.0,52166.0
Santiago Del Estero,Pellegrini,2.0,165.0,26193.0
La Pampa,Capital,74.0,164.0,118504.0
Catamarca,Capital,108.0,162.0,186466.0
Tucuman,Burruyacú,9.0,162.0,45459.0
CABA,Comuna 5,312.0,161.0,192449.0
Buenos Aires,Ezeiza,144.0,161.0,198620.0
Cordoba,Calamuchita,29.0,161.0,75462.0
Buenos Aires,Campana,100.0,159.0,107976.0
Santa Fe,San Jerónimo,77.0,159.0,84617.0
Buenos Aires,Necochea,49.0,159.0,101483.0
Santa Fe,9 de Julio,24.0,159.0,30942.0
Santiago Del Estero,Figueroa,0.0,159.0,20246.0
Tucuman,Tafí Viejo,59.0,155.0,172877.0
Entre Rios,Diamante,30.0,155.0,52312.0
Buenos Aires,Zárate,112.0,154.0,131415.0
CABA,Comuna 2,564.0,153.0,160609.0
Buenos Aires,Junín,112.0,153.0,100964.0
Misiones,25 de Mayo,1.0,152.0,30877.0
Buenos Aires,Azul,33.0,150.0,75152.0
Salta,Anta,27.0,149.0,69442.0
Santiago Del Estero,Moreno,19.0,148.0,40352.0
Entre Rios,Colón,59.0,144.0,74890.0
Cordoba,Juárez Celman,149.0,143.0,68317.0
Tucuman,Simoca,3.0,141.0,36946.0
Entre Rios,Gualeguay,48.0,139.0,56796.0
Entre Rios,Victoria,23.0,136.0,40301.0
Santiago Del Estero,Copo,2.0,136.0,35653.0
Buenos Aires,Chivilcoy,54.0,135.0,70554.0
Cordoba,San Alberto,9.0,134.0,42029.0
Santiago Del Estero,Loreto,2.0,134.0,24047.0
Mendoza,Lavalle,28.0,133.0,47086.0
Cordoba,San Javier,18.0,133.0,62700.0
Formosa,Bermejo,0.0,133.0,15600.0
Corrientes,Santo Tomé,59.0,132.0,71922.0
Catamarca,Belén,12.0,132.0,30353.0
Buenos Aires,25 de Mayo,9.0,132.0,35411.0
Santa Cruz,Güer Aike,111.0,131.0,137309.0
Entre Rios,Federal,2.0,131.0,29436.0
Santa Fe,San Martín,76.0,130.0,67299.0
Santa Fe,Constitución,71.0,130.0,93000.0
Corrientes,Esquina,10.0,130.0,39168.0
Jujuy,San Pedro,15.0,129.0,88237.0
Tucuman,Chicligasta,14.0,129.0,92308.0
Jujuy,El Carmen,30.0,128.0,122259.0
Santa Fe,Iriondo,101.0,127.0,73636.0
Rio Negro,Adolfo Alsina,34.0,127.0,63845.0
Santiago Del Estero,Choya,0.0,127.0,43692.0
Buenos Aires,Trenque Lauquen,56.0,126.0,49128.0
Santa Cruz,Deseado,149.0,124.0,126266.0
Buenos Aires,Tres Arroyos,62.0,124.0,61889.0
Buenos Aires,Mercedes,58.0,123.0,71002.0
Santa Fe,San Justo,26.0,123.0,46486.0
Mendoza,General Alvear,35.0,122.0,52379.0
Chaco,Almirante Brown,8.0,121.0,37794.0
Buenos Aires,Lincoln,30.0,120.0,45191.0
Corrientes,Curuzú Cuatiá,20.0,120.0,51489.0
Tucuman,Monteros,31.0,119.0,77469.0
Santiago Del Estero,Alberdi,6.0,119.0,20104.0
Buenos Aires,General Rodríguez,79.0,118.0,142315.0
Buenos Aires,San Pedro,64.0,117.0,68353.0
Santiago Del Estero,Robles,9.0,116.0,53879.0
Buenos Aires,Coronel Suárez,34.0,115.0,41713.0
Chaco,Mayor Luis J. Fontana,24.0,115.0,59798.0
Santa Fe,Caseros,86.0,114.0,86261.0
Santiago Del Estero,General Taboada,2.0,114.0,46304.0
San Juan,Rawson,51.0,113.0,136582.0
Buenos Aires,9 de Julio,39.0,113.0,52366.0
Buenos Aires,Balcarce,67.0,111.0,48516.0
Santiago Del Estero,Avellaneda,2.0,111.0,25462.0
